13:44:26         eth0     77.60     67.60  30902.00  31336.40      0.00      0.00      0.00
13:44:31         eth0     31.54     25.55  10254.89   9135.93      0.00      0.00      0.00
13:44:36         eth0     43.89     41.88  14017.03  27536.47      0.00      0.00      0.00
13:44:41         eth0     12.97     12.57   1516.57  14409.18      0.00      0.00      0.00
13:44:46         eth0      7.00      2.60   1078.60    639.80      0.00      0.00      0.00
13:44:51         eth0    112.63    103.21  42251.70  33160.72      0.00      0.00      0.00
13:44:56         eth0      8.20      3.40   1367.60    752.60      0.00      0.00      0.00
13:45:01         eth0     42.51     36.33   8018.36  10596.81      0.00      0.00      0.00
13:45:06         eth0     33.27     23.05  10752.30   8043.29      0.00      0.00      0.00
13:45:11         eth0     79.64     72.26  35131.54  25856.89      0.00      0.00      0.00
13:45:16         eth0      6.60      2.60   1065.60    639.80      0.00      0.00      0.00
13:45:21         eth0     81.84     71.26  21933.53  17969.66      0.00      0.00      0.00
13:45:26         eth0     23.65     15.23   5030.06   3857.72      0.00      0.00      0.00
13:45:31         eth0     42.48     36.47  15564.13  16128.46      0.00      0.00      0.00
13:45:36         eth0     66.67     59.48  24134.73  18587.23      0.00      0.00      0.00
13:45:41         eth0     57.40     54.00  22119.20  27592.00      0.00      0.00      0.00
13:45:46         eth0     42.28     38.48  15867.54  20328.06      0.00      0.00      0.00
13:45:51         eth0    342.80    337.40  32477.20 115001.40      0.00      0.00      0.00
13:45:56         eth0     18.53     12.15   3915.94   3734.06      0.00      0.00      0.00
13:46:01         eth0     22.69     18.07   4661.04   4928.71      0.00      0.00      0.00
13:46:06         eth0     42.12     35.13  13461.48  11157.49      0.00      0.00      0.00
13:46:11         eth0     88.98     77.35  32519.24  24286.57      0.00      0.00      0.00
13:46:16         eth0     83.03     78.04  24583.63  30167.27      0.00      0.00      0.00
